,Beta-neutral,Beta-neutral,Beta-neutral,Beta-neutral,Unconstrained,Unconstrained,Unconstrained,Unconstrained,Unconstrained,Benchmark (EW),Benchmark (EW),Benchmark (EW),Benchmark (EW),Benchmark (EW)
,SMB,HML,RMW,CMA,MKT_RF,SMB,HML,RMW,CMA,MKT_RF,SMB,HML,RMW,CMA
date,,,,,,,,,,,,,,
2013-03-31,0.5828517035925214,0.7577401327553152,1.197902836378646,0.5520528467373402,0.5932609110595306,0.11856925798459261,0.30163274184394545,1.5094914297393327,0.813487723470351,0.2,0.2,0.2,0.2,0.2
2013-04-30,0.8076794422260584,0.304375616393833,1.3616456634454253,1.1074868446438313,0.755345171815367,0.014240299985769806,-0.17254408117565476,1.487078626390061,1.0544148774857234,0.2,0.2,0.2,0.2,0.2
2013-05-31,0.5287122064493446,0.7558023281409172,1.2757625245164357,0.6044862932077957,0.7590357284339454,-0.13005986638109443,0.04784256110847893,1.4175355368131461,0.7904154397434756,0.2,0.2,0.2,0.2,0.2
2013-06-30,0.44152413780391336,0.8676838909112173,1.3445562878615265,0.3061312442674149,0.7303996000118004,-0.13943004706469003,0.18270862210967997,1.518053071267439,0.5947174146067616,0.2,0.2,0.2,0.2,0.2
2013-07-31,0.6961592481123308,0.4589284397747086,1.5885532616609366,0.7839945067240762,0.7223965382874795,0.016545223142062516,-0.03811995684780741,1.6561173977568306,0.8586195731033801,0.2,0.2,0.2,0.2,0.2
2013-08-31,0.15315723385906463,1.1608429683903019,0.9538084938931227,-0.11408458009467962,0.4769388402146807,-0.13012866478478452,0.7914746500970838,1.327918510523851,0.16767293929171867,0.2,0.2,0.2,0.2,0.2
2013-09-30,0.381134358571029,0.9943798850955976,1.2082461816674646,0.08642694153902225,0.7133002753813279,-0.1663483364207057,0.30001029140275803,1.494435697702699,0.4132363613718728,0.2,0.2,0.2,0.2,0.2
2013-10-31,0.9729622611425042,0.3903187553926405,0.5674974111335417,0.8201932784972462,0.8567796623786176,-0.27019520738789327,-0.25013532422098395,1.0692099837631035,0.6051399106456733,0.2,0.2,0.2,0.2,0.2
2013-11-30,0.7570351431649748,0.5975926999354748,1.3756660797893665,0.5850003093107317,0.7518320556213247,-0.028909651290556886,-0.011285886576328046,1.4559263579671509,0.6545661713712527,0.2,0.2,0.2,0.2,0.2
2013-12-31,0.6592840137291439,0.4782684581886309,1.7523300182333166,0.4039959735624411,0.5835802618545716,0.17265334756589323,0.11705817708184836,1.895997946675843,0.5822286575310379,0.2,0.2,0.2,0.2,0.2
2014-01-31,0.7384286149692525,0.46263279277794334,1.7028911267439937,0.4090135094750373,0.6202028597557361,0.16851486825348977,0.0842794345583064,1.8402141814807498,0.5979619964849073,0.2,0.2,0.2,0.2,0.2
2014-02-28,0.7774326991759971,0.016914527053512263,1.8183490015603299,0.36081258797303517,0.4917052578398043,0.3483779471000931,-0.18522670844522082,1.945764492438458,0.482929471925299,0.2,0.2,0.2,0.2,0.2
2014-03-31,1.0636230654099073,-0.13403961721627017,1.5872183221248328,0.5696970171332483,0.5857959239053064,0.42738667559502885,-0.32805275635503683,1.7109810062685245,0.6318976274292004,0.2,0.2,0.2,0.2,0.2
2014-04-30,0.9897350790675639,-0.061102501862506854,1.6265141103200786,0.6989439520141189,0.6005878932750318,0.34497479524319546,-0.28604238112005315,1.7152443497964753,0.7246237222528669,0.2,0.2,0.2,0.2,0.2
2014-05-31,0.6324228873771802,0.2356744163551126,1.826365895042599,0.3416292394110544,0.5747962455225176,0.13897730644219078,-0.06866632190155514,1.8700027752222221,0.44690569222917087,0.2,0.2,0.2,0.2,0.2
